Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Штепа,Зиновій,Федорович,male,1987-08-28,Кадровий менеджер,селище Долинська,"площа Сурикова 1-й, буд. 832, Куп'янськ, 09489",+380 (77) 492-29-13,dan73@example.net
Влох,Віолетта,Павлівна,female,1998-08-16,Офіс-менеджер,хутір Волочиськ,"вулиця Академіка Заболотного, буд. 9 кв. 8, Здолбунів, 52614",055 506-65-52,rostyslav48@example.com
Павличенко,Віра,Олегівна,female,1983-10-15,Асистент керівника,селище Южноукраїнськ,"сквер Михайлівська, буд. 4, Валки , 60233",768-34-34,derhachopanas@example.org
Захарченко,Юхим,Борисович,male,1960-08-26,Системний адміністратор,місто Джанкой,"площа Космонавта Комарова, буд. 6 кв. 5, Червоноград, 86955",+380 (32) 147-66-78,vadym90@example.org
Яценко,Остап,Кирилович,male,1946-08-08,Копірайтер,село Хуст,"набережна Грецька, буд. 70, Молочанськ, 47640",+380 (55) 152-95-14,snizhanaazhazha@example.com
Панчук,Микита,Юрійович,male,1945-05-27,Дизайнер,селище Нікополь,"набережна Цегляна, буд. 87 кв. 8, Арциз, 94856",+380 70 679-16-48,khrystynaavdieienko@example.org
Онуфрієнко,Юстина,Зеновіївна,female,1939-08-05,Системний адміністратор,хутір Обухів,"площа Щоглова, буд. 17 кв. 2, Керч, 12092",+380 (55) 817-29-92,veniiamyn45@example.com
Франчук,Мартин,Назарович,male,1938-11-27,Офіс-менеджер,село Пирятин,"площа Баштанна, буд. 78 кв. 8, Острог, 81140",+380 (40) 628-99-36,symonilienko@example.net
Бандера,Леонтій,Євгенович,male,1985-05-16,Фінансовий аналітик,хутір Бобринець,"узвіз Ювілейний 1-й, буд. 37 кв. 3, Городище , 04333",+380 83 019 53 21,demianchukoleh@example.com
Вахній,Тарас,Тимофійович,male,1973-10-03,Програміст,місто Шпола,"парк Павлова, буд. 443, Тиврів, 03017",939-38-86,marianavalenko@example.org
Чаленко,Ярослава,Іванівна,female,1959-09-27,Аналітик даних,селище Бобровиця,"проспект Водопровідна, буд. 20, Ялта, 12039",+380 50 225-21-69,jlytvynenko@example.net
Чарниш,Альбіна,Романівна,female,1968-08-30,Асистент керівника,хутір Ізюм,"площа Миколи Огренича, буд. 77, Київ, 06894",+380 15 240-50-07,mykhailobakumenko@example.org
Перебийніс,Клавдія,Зеновіївна,female,2004-06-02,Аудитор,село Кролевець,"шосе Локомотивна, буд. 8, Жовті Води, 36267",+380 78 635-95-80,avreliitsiupa@example.org
Романець,Ярослава,Ігорівна,female,1951-05-30,Копірайтер,хутір Арциз,"шосе 21-й км Старокиївської дороги, буд. 7 кв. 7, Моспине, 30104",571-29-44,iverkhola@example.org
Штепа,Анастасія,Зеновіївна,female,1989-06-25,HR-менеджер,селище Герца,"шосе Князівська, буд. 2 кв. 72, Гайсин, 18257",938-09-64,vmazur@example.org
Зінчук,Амвросій,Захарович,male,1953-05-01,Програміст,селище Устилуг,"узвіз Шота Руставелі, буд. 334, Макіївка, 68652",010 068-13-59,mykhailyna02@example.net
Дуплій,Адам,Олександрович,male,1958-12-15,Асистент керівника,селище Миколаївка ,"шосе Саксаганського, буд. 2 кв. 39, Пирятин, 23972",+380 03 123-83-59,fdanyliuk@example.net
Лавренко,Любов,Тимофіївна,female,1965-02-28,Аудитор,селище Ромни,"шосе Запорізька, буд. 8 кв. 13, Феодосія, 15863",+380 42 059-59-74,iryna06@example.org
Шеремета,Герман,Марківич,male,1978-11-01,Менеджер з продукту,село Овруч,"парк Керченський 3-й, буд. 56, Гайворон, 11126",709-61-41,hohol-ianovskyisofiia@example.net
Гаврилів,Веніямин,Євгенович,male,1972-04-01,Аудитор,хутір Сквира,"набережна Літературна, буд. 8 кв. 57, Рава-Руська, 65128",315 82 83,neporozhniisvitlana@example.com
Гаврилюк,Зиновій,Сергійович,male,1990-01-10,Менеджер з маркетингу,місто Білогірськ,"набережна Краснослобідська, буд. 22, Чорнобиль, 35610",060 442 31 16,ihorbaranets@example.org
Литвиненко,Пармен,Григорійович,male,1980-05-14,Копірайтер,село Черкаси,"площа Кустанайська, буд. 6 кв. 3, Дніпро , 97878",+380 21 868 19 81,zynovii17@example.com
Дубина,Аліна,Костянтинівна,female,1945-10-30,Бухгалтер,село Люботин,"парк ім. К.Г. Паустовського, буд. 255 кв. 55, Мала Виска, 56050",+380 38 259-14-81,tetiana22@example.org
Дутка,Артем,Ігорович,male,1980-12-26,Архітектор,селище Заводське,"сквер Вапняний 2-й, буд. 048, Родинське, 42113",642-73-99,stefan36@example.com
Вітер,Клавдія,Остапівна,female,1955-02-03,Кадровий менеджер,хутір Славута,"проспект Омська, буд. 2 кв. 802, Вижниця, 21194",046 531-43-07,demianveres@example.com
Іщак,Олег,Іванович,male,2003-06-02,PR-менеджер,хутір Ромни,"парк Чапаєва 2-й, буд. 7, Золочів, 77458",+380 73 903-02-31,oleksandrkhudobiak@example.com
Щербак,Опанас,Андрійович,male,2001-01-04,Офіс-менеджер,місто Бобровиця,"проспект Черепанових, буд. 0, Новомосковськ, 19042",069 658-45-42,fedir91@example.com
Єсипенко,Михайлина,Станіславівна,female,1939-03-31,Бухгалтер,село Немирів,"узвіз Деревообробний 3-й, буд. 942 кв. 7, Гнівань, 72993",784-97-75,tarasduplii@example.net
Приймак,Михайло,Ігорович,male,1971-10-16,PR-менеджер,місто Шепетівка,"шосе Василя Кандинського 5-й, буд. 01 кв. 72, Решетилівка, 34057",+380 (80) 764-80-67,artembarabash@example.net
Рубець,Валентина,Федорівна,female,1955-08-04,Програміст,селище Сторожинець,"проспект Палубна, буд. 295 кв. 4, Запоріжжя, 54634",+380 (65) 599-52-52,heorhiihaievskyi@example.net
Атаманчук,Герман,Федорович,male,1960-08-06,HR-менеджер,місто Торецьк,"шосе Разумовська, буд. 9 кв. 2, Слов'янськ, 93052",050 657 14 07,andriichukillia@example.com
Туркало,Златослава,Ігорівна,female,1986-08-29,Фінансовий аналітик,селище Саки ,"сквер Лінія 29-та, буд. 3 кв. 74, Мукачево, 95954",340 67 32,hannazhadan@example.net
Ємець,Варфоломій,Ярославович,male,1999-07-13,Системний адміністратор,хутір Гірник ,"парк Транспортна, буд. 88, Вашківці, 78968",+380 65 898-72-21,batihavhustyn@example.net
Жук,Вʼячеслав,Мар'янович,male,1962-08-21,Асистент керівника,селище Жидачів,"набережна Восьмого березня узвіз, буд. 32, Кодима, 59012",116-28-21,stetsnazar@example.com
Щербань,Софія,Василівна,female,2003-01-30,Кадровий менеджер,село Новоселиця,"площа Кропивницького, буд. 12, Приморськ (Україна), 36397",048 116-95-26,ihaidenko@example.org
Рубан,Валентина,Станіславівна,female,1971-09-24,Офіс-менеджер,місто Бердянськ,"сквер Друга, буд. 303 кв. 83, Алушта, 25869",399 97 57,anitalytvynenko@example.org
Скирда,Клавдія,Назарівна,female,1995-03-08,Програміст,хутір Бар,"сквер Таїрова, буд. 554, Кам'янка-Бузька, 50086",+380 29 585-10-58,hiatsenko@example.net
